SA2_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
206041117,27,1871,652,365,2064,1,1289,1.8
212051567,26,1860,503,380,1630,0.9,1278,2.2
212051568,30,2000,709,401,1856,0.9,1711,2.7
213031348,34,1940,916,355,2296,1,1763,2.1
