sa2_code,name,worksheet_row,erp_2020,erp_2021,erp_2022,erp_2023,erp_2024,erp_2025
212051567,Clayton (North) - Notting Hill,1041,11715,10099,10711,12765,14069,14911
212051568,Clayton - Central,1042,14027,12276,12884,14164,14977,15483
213011328,Ardeer - Albion,1043,8082,7590,7463,7692,7880,7955
213011329,Cairnlea,1044,10510,10142,9989,10071,10009,10035
213011331,Delahey,1045,8533,8148,8024,8000,7981,7859
213011332,Keilor Downs,1046,13567,13193,12974,12995,13036,13080
213011333,Kings Park (Vic.),1047,14477,14076,13816,13846,13884,13956
213011334,St Albans - North,1048,21663,20838,20288,20708,20921,21020
213011335,St Albans - South,1049,18385,17656,17098,17452,17697,17705
213011336,Sunshine,1050,10100,9568,9601,9910,10059,10151
213011337,Sunshine North,1051,12451,12161,11966,12185,12462,12751
213011338,Sunshine West,1052,19633,18770,18266,18527,18724,18693
213011339,Sydenham,1053,12432,11859,11583,11776,11929,12025
213011340,Taylors Lakes,1054,17614,17070,16754,16903,16966,16896
213011569,Deer Park,1055,18976,18219,17960,18163,18398,18368
213011570,Derrimut,1056,9015,8748,8705,8826,8880,8958
213021341,Altona,1057,13878,13655,13711,13877,14190,14428
213021342,Altona Meadows,1058,19500,18660,18334,18604,18733,18783
213021343,Altona North,1059,15396,15084,15034,15342,15851,16493
213021344,Newport,1060,19414,18983,18928,19445,19879,20328
213021345,Seabrook,1061,5250,4999,4854,4903,4932,4932
213021346,Williamstown,1062,16659,16075,16154,16557,16867,17102
213031347,Braybrook,1063,19901,19359,19488,20151,20607,20916
213031348,Footscray,1064,18092,17419,18017,19845,20607,20882
213031349,Maribyrnong,1065,13263,12712,12867,13364,13751,13960
213031350,Seddon - Kingsville,1066,9724,9363,9335,9534,9722,9748
213031351,West Footscray - Tottenham,1067,12370,11881,11960,12548,12883,13007
213031352,Yarraville,1068,16068,15651,15607,15954,16153,16159
213041353,Bacchus Marsh,1069,24263,25057,25618,26033,26531,27182
213041358,Melton West,1070,21432,21505,21807,22199,22617,22710
213041359,Rockbank - Mount Cottrell,1071,13341,17900,22867,27141,31254,35856
213041360,Taylors Hill,1072,20288,19794,19859,19863,19818,19874
213041461,Burnside,1073,5743,5857,5995,6199,6418,6635
213041462,Burnside Heights,1074,6628,6440,6334,6473,6460,6443
213041463,Caroline Springs,1075,21238,20634,20659,20896,20954,20934
213041571,Brookfield,1076,9901,9948,9959,10137,10364,10665
213041572,Cobblebank - Strathtulloh,1077,6158,7715,8835,10197,11697,12885
213041573,Eynesbury - Exford,1078,3020,3026,3120,3409,3909,4309
213041574,Fraser Rise - Plumpton,1079,8767,10239,12954,16374,20675,24739
213041575,Hillside,1080,16495,16346,16220,16127,16093,16173
213041576,Kurunjang - Toolern Vale,1081,11979,11748,11814,11889,12031,12082
213041577,Melton,1082,8261,7966,7893,7990,8017,8007
213041578,Melton South - Weir Views,1083,15664,16926,18660,20128,21641,22821
213051361,Hoppers Crossing - North,1084,19405,18657,18230,18273,18353,18359
213051362,Hoppers Crossing - South,1085,19933,18991,18463,18736,18879,18906
213051363,Laverton,1086,11972,11643,11839,12359,12672,12816
