sa2_code,year,population,reference_date,revision_status,source_id,source_locator
206031113,2023,15674,2023-06-30,revised,abs-erp-2024-25,Table 1!AG771
206031113,2024,16078,2024-06-30,revised,abs-erp-2024-25,Table 1!AH771
206031113,2025,16398,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI771
206031115,2020,10270,2020-06-30,final,abs-erp-2024-25,Table 1!AD772
206031115,2021,9181,2021-06-30,final,abs-erp-2024-25,Table 1!AE772
206031115,2022,9143,2022-06-30,revised,abs-erp-2024-25,Table 1!AF772
206031115,2023,9729,2023-06-30,revised,abs-erp-2024-25,Table 1!AG772
206031115,2024,10215,2024-06-30,revised,abs-erp-2024-25,Table 1!AH772
206031115,2025,9935,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI772
206031116,2020,16639,2020-06-30,final,abs-erp-2024-25,Table 1!AD773
206031116,2021,16400,2021-06-30,final,abs-erp-2024-25,Table 1!AE773
206031116,2022,16547,2022-06-30,revised,abs-erp-2024-25,Table 1!AF773
206031116,2023,17157,2023-06-30,revised,abs-erp-2024-25,Table 1!AG773
206031116,2024,17752,2024-06-30,revised,abs-erp-2024-25,Table 1!AH773
206031116,2025,17965,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI773
206031501,2020,16920,2020-06-30,final,abs-erp-2024-25,Table 1!AD774
206031501,2021,16175,2021-06-30,final,abs-erp-2024-25,Table 1!AE774
206031501,2022,16145,2022-06-30,revised,abs-erp-2024-25,Table 1!AF774
206031501,2023,16584,2023-06-30,revised,abs-erp-2024-25,Table 1!AG774
206031501,2024,17096,2024-06-30,revised,abs-erp-2024-25,Table 1!AH774
206031501,2025,17119,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI774
206031502,2020,12763,2020-06-30,final,abs-erp-2024-25,Table 1!AD775
206031502,2021,12314,2021-06-30,final,abs-erp-2024-25,Table 1!AE775
206031502,2022,12252,2022-06-30,revised,abs-erp-2024-25,Table 1!AF775
206031502,2023,12616,2023-06-30,revised,abs-erp-2024-25,Table 1!AG775
206031502,2024,12876,2024-06-30,revised,abs-erp-2024-25,Table 1!AH775
206031502,2025,13196,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI775
206041117,2020,20865,2020-06-30,final,abs-erp-2024-25,Table 1!AD776
206041117,2021,17064,2021-06-30,final,abs-erp-2024-25,Table 1!AE776
206041117,2022,17942,2022-06-30,revised,abs-erp-2024-25,Table 1!AF776
206041117,2023,21321,2023-06-30,revised,abs-erp-2024-25,Table 1!AG776
206041117,2024,23758,2024-06-30,revised,abs-erp-2024-25,Table 1!AH776
206041117,2025,25267,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI776
206041118,2020,16671,2020-06-30,final,abs-erp-2024-25,Table 1!AD777
206041118,2021,15905,2021-06-30,final,abs-erp-2024-25,Table 1!AE777
206041118,2022,16395,2022-06-30,revised,abs-erp-2024-25,Table 1!AF777
206041118,2023,17661,2023-06-30,revised,abs-erp-2024-25,Table 1!AG777
206041118,2024,18407,2024-06-30,revised,abs-erp-2024-25,Table 1!AH777
206041118,2025,19139,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI777
206041119,2020,5383,2020-06-30,final,abs-erp-2024-25,Table 1!AD778
206041119,2021,4959,2021-06-30,final,abs-erp-2024-25,Table 1!AE778
206041119,2022,4860,2022-06-30,revised,abs-erp-2024-25,Table 1!AF778
206041119,2023,5066,2023-06-30,revised,abs-erp-2024-25,Table 1!AG778
206041119,2024,5169,2024-06-30,revised,abs-erp-2024-25,Table 1!AH778
206041119,2025,5245,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI778
206041120,2020,81,2020-06-30,final,abs-erp-2024-25,Table 1!AD779
206041120,2021,78,2021-06-30,final,abs-erp-2024-25,Table 1!AE779
206041120,2022,78,2022-06-30,revised,abs-erp-2024-25,Table 1!AF779
206041120,2023,78,2023-06-30,revised,abs-erp-2024-25,Table 1!AG779
206041120,2024,78,2024-06-30,revised,abs-erp-2024-25,Table 1!AH779
206041120,2025,78,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI779
206041121,2020,11416,2020-06-30,final,abs-erp-2024-25,Table 1!AD780
206041121,2021,10872,2021-06-30,final,abs-erp-2024-25,Table 1!AE780
206041121,2022,10968,2022-06-30,revised,abs-erp-2024-25,Table 1!AF780
206041121,2023,11358,2023-06-30,revised,abs-erp-2024-25,Table 1!AG780
206041121,2024,11625,2024-06-30,revised,abs-erp-2024-25,Table 1!AH780
206041121,2025,12423,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI780
206041124,2020,8318,2020-06-30,final,abs-erp-2024-25,Table 1!AD781
206041124,2021,7428,2021-06-30,final,abs-erp-2024-25,Table 1!AE781
206041124,2022,7398,2022-06-30,revised,abs-erp-2024-25,Table 1!AF781
206041124,2023,7937,2023-06-30,revised,abs-erp-2024-25,Table 1!AG781
206041124,2024,8184,2024-06-30,revised,abs-erp-2024-25,Table 1!AH781
206041124,2025,8280,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI781
206041125,2020,6960,2020-06-30,final,abs-erp-2024-25,Table 1!AD782
206041125,2021,6536,2021-06-30,final,abs-erp-2024-25,Table 1!AE782
206041125,2022,6540,2022-06-30,revised,abs-erp-2024-25,Table 1!AF782
206041125,2023,6760,2023-06-30,revised,abs-erp-2024-25,Table 1!AG782
206041125,2024,6893,2024-06-30,revised,abs-erp-2024-25,Table 1!AH782
206041125,2025,6894,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI782
206041127,2020,0,2020-06-30,final,abs-erp-2024-25,Table 1!AD783
206041127,2021,0,2021-06-30,final,abs-erp-2024-25,Table 1!AE783
206041127,2022,0,2022-06-30,revised,abs-erp-2024-25,Table 1!AF783
206041127,2023,0,2023-06-30,revised,abs-erp-2024-25,Table 1!AG783
206041127,2024,0,2024-06-30,revised,abs-erp-2024-25,Table 1!AH783
206041127,2025,0,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI783
206041503,2020,12346,2020-06-30,final,abs-erp-2024-25,Table 1!AD784
206041503,2021,10119,2021-06-30,final,abs-erp-2024-25,Table 1!AE784
206041503,2022,10630,2022-06-30,revised,abs-erp-2024-25,Table 1!AF784
206041503,2023,12389,2023-06-30,revised,abs-erp-2024-25,Table 1!AG784
206041503,2024,13593,2024-06-30,revised,abs-erp-2024-25,Table 1!AH784
206041503,2025,14266,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI784
206041504,2020,19155,2020-06-30,final,abs-erp-2024-25,Table 1!AD785
206041504,2021,17360,2021-06-30,final,abs-erp-2024-25,Table 1!AE785
206041504,2022,18774,2022-06-30,revised,abs-erp-2024-25,Table 1!AF785
206041504,2023,21527,2023-06-30,revised,abs-erp-2024-25,Table 1!AG785
206041504,2024,23395,2024-06-30,revised,abs-erp-2024-25,Table 1!AH785
206041504,2025,24296,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI785
206041505,2020,18796,2020-06-30,final,abs-erp-2024-25,Table 1!AD786
206041505,2021,16098,2021-06-30,final,abs-erp-2024-25,Table 1!AE786
206041505,2022,17226,2022-06-30,revised,abs-erp-2024-25,Table 1!AF786
206041505,2023,19965,2023-06-30,revised,abs-erp-2024-25,Table 1!AG786
206041505,2024,21340,2024-06-30,revised,abs-erp-2024-25,Table 1!AH786
206041505,2025,22163,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI786
206041506,2020,18154,2020-06-30,final,abs-erp-2024-25,Table 1!AD787
206041506,2021,15945,2021-06-30,final,abs-erp-2024-25,Table 1!AE787
206041506,2022,16510,2022-06-30,revised,abs-erp-2024-25,Table 1!AF787
206041506,2023,17942,2023-06-30,revised,abs-erp-2024-25,Table 1!AG787
206041506,2024,19069,2024-06-30,revised,abs-erp-2024-25,Table 1!AH787
206041506,2025,19286,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI787
206041507,2020,0,2020-06-30,final,abs-erp-2024-25,Table 1!AD788
206041507,2021,0,2021-06-30,final,abs-erp-2024-25,Table 1!AE788
206041507,2022,0,2022-06-30,revised,abs-erp-2024-25,Table 1!AF788
206041507,2023,0,2023-06-30,revised,abs-erp-2024-25,Table 1!AG788
206041507,2024,0,2024-06-30,revised,abs-erp-2024-25,Table 1!AH788
206041507,2025,0,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI788
206041508,2020,7551,2020-06-30,final,abs-erp-2024-25,Table 1!AD789
206041508,2021,6607,2021-06-30,final,abs-erp-2024-25,Table 1!AE789
206041508,2022,6778,2022-06-30,revised,abs-erp-2024-25,Table 1!AF789
206041508,2023,7379,2023-06-30,revised,abs-erp-2024-25,Table 1!AG789
206041508,2024,7783,2024-06-30,revised,abs-erp-2024-25,Table 1!AH789
206041508,2025,8122,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI789
206041509,2020,17305,2020-06-30,final,abs-erp-2024-25,Table 1!AD790
206041509,2021,16506,2021-06-30,final,abs-erp-2024-25,Table 1!AE790
206041509,2022,17267,2022-06-30,revised,abs-erp-2024-25,Table 1!AF790
206041509,2023,18684,2023-06-30,revised,abs-erp-2024-25,Table 1!AG790
206041509,2024,19274,2024-06-30,revised,abs-erp-2024-25,Table 1!AH790
206041509,2025,19552,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI790
206041510,2020,7567,2020-06-30,final,abs-erp-2024-25,Table 1!AD791
206041510,2021,7614,2021-06-30,final,abs-erp-2024-25,Table 1!AE791
206041510,2022,7979,2022-06-30,revised,abs-erp-2024-25,Table 1!AF791
206041510,2023,8687,2023-06-30,revised,abs-erp-2024-25,Table 1!AG791
206041510,2024,9236,2024-06-30,revised,abs-erp-2024-25,Table 1!AH791
206041510,2025,9699,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI791
206051128,2020,16955,2020-06-30,final,abs-erp-2024-25,Table 1!AD792
206051128,2021,16011,2021-06-30,final,abs-erp-2024-25,Table 1!AE792
206051128,2022,16126,2022-06-30,revised,abs-erp-2024-25,Table 1!AF792
206051128,2023,16811,2023-06-30,revised,abs-erp-2024-25,Table 1!AG792
206051128,2024,17094,2024-06-30,revised,abs-erp-2024-25,Table 1!AH792
206051128,2025,17253,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI792
206051129,2020,15925,2020-06-30,final,abs-erp-2024-25,Table 1!AD793
206051129,2021,15032,2021-06-30,final,abs-erp-2024-25,Table 1!AE793
206051129,2022,14846,2022-06-30,revised,abs-erp-2024-25,Table 1!AF793
206051129,2023,15415,2023-06-30,revised,abs-erp-2024-25,Table 1!AG793
206051129,2024,15880,2024-06-30,revised,abs-erp-2024-25,Table 1!AH793
206051129,2025,16056,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI793
206051130,2020,16998,2020-06-30,final,abs-erp-2024-25,Table 1!AD794
206051130,2021,16366,2021-06-30,final,abs-erp-2024-25,Table 1!AE794
206051130,2022,16365,2022-06-30,revised,abs-erp-2024-25,Table 1!AF794
206051130,2023,16752,2023-06-30,revised,abs-erp-2024-25,Table 1!AG794
206051130,2024,16817,2024-06-30,revised,abs-erp-2024-25,Table 1!AH794
206051130,2025,16927,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI794
206051134,2020,17259,2020-06-30,final,abs-erp-2024-25,Table 1!AD795
206051134,2021,16073,2021-06-30,final,abs-erp-2024-25,Table 1!AE795
206051134,2022,15951,2022-06-30,revised,abs-erp-2024-25,Table 1!AF795
206051134,2023,16707,2023-06-30,revised,abs-erp-2024-25,Table 1!AG795
206051134,2024,17237,2024-06-30,revised,abs-erp-2024-25,Table 1!AH795
