sa2_code,indicator_key,component_key,value,unit,reference_period,source_id
206021112,transport_access,weighted_index_area_sum,89914344.73170279,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206021112,transport_access,valid_intersection_area,4996935.896138967,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206021112,transport_access,sa2_area,4996935.896138901,m2,Boundary 2021,abs-sa2-2021
206021112,green_space_per_resident,eligible_open_space_area,462813.3513109946,m2,Observation date unverified,vpa-open-space-snapshot
206021112,green_space_per_resident,population_denominator,20234,persons,2025-06-30,abs-erp-2024-25
206021499,population_growth,population_start,16183,persons,2020-06-30,abs-erp-2024-25
206021499,population_growth,population_end,15969,persons,2025-06-30,abs-erp-2024-25
206021499,transport_access,weighted_index_area_sum,84035834.69721366,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206021499,transport_access,valid_intersection_area,3513479.705043039,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206021499,transport_access,sa2_area,3513479.7050430644,m2,Boundary 2021,abs-sa2-2021
206021499,green_space_per_resident,eligible_open_space_area,349789.98684507643,m2,Observation date unverified,vpa-open-space-snapshot
206021499,green_space_per_resident,population_denominator,15969,persons,2025-06-30,abs-erp-2024-25
206021500,population_growth,population_start,10887,persons,2020-06-30,abs-erp-2024-25
206021500,population_growth,population_end,11026,persons,2025-06-30,abs-erp-2024-25
206021500,transport_access,weighted_index_area_sum,63910704.872177266,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206021500,transport_access,valid_intersection_area,2631389.2592040724,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206021500,transport_access,sa2_area,2631389.259204071,m2,Boundary 2021,abs-sa2-2021
206021500,green_space_per_resident,eligible_open_space_area,239996.90404407727,m2,Observation date unverified,vpa-open-space-snapshot
206021500,green_space_per_resident,population_denominator,11026,persons,2025-06-30,abs-erp-2024-25
206031113,population_growth,population_start,15784,persons,2020-06-30,abs-erp-2024-25
206031113,population_growth,population_end,16398,persons,2025-06-30,abs-erp-2024-25
206031113,transport_access,weighted_index_area_sum,65746449.07035766,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206031113,transport_access,valid_intersection_area,3836150.670750697,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206031113,transport_access,sa2_area,3836150.670750758,m2,Boundary 2021,abs-sa2-2021
206031113,green_space_per_resident,eligible_open_space_area,449257.4618794218,m2,Observation date unverified,vpa-open-space-snapshot
206031113,green_space_per_resident,population_denominator,16398,persons,2025-06-30,abs-erp-2024-25
206031115,population_growth,population_start,10270,persons,2020-06-30,abs-erp-2024-25
206031115,population_growth,population_end,9935,persons,2025-06-30,abs-erp-2024-25
206031115,transport_access,weighted_index_area_sum,34086714.44721863,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206031115,transport_access,valid_intersection_area,1580897.1963042216,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206031115,transport_access,sa2_area,1580897.1963042412,m2,Boundary 2021,abs-sa2-2021
206031115,green_space_per_resident,eligible_open_space_area,163614.1116879991,m2,Observation date unverified,vpa-open-space-snapshot
206031115,green_space_per_resident,population_denominator,9935,persons,2025-06-30,abs-erp-2024-25
206031116,population_growth,population_start,16639,persons,2020-06-30,abs-erp-2024-25
206031116,population_growth,population_end,17965,persons,2025-06-30,abs-erp-2024-25
206031116,transport_access,weighted_index_area_sum,94750371.2258909,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206031116,transport_access,valid_intersection_area,4355548.917716883,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206031116,transport_access,sa2_area,4355548.917716893,m2,Boundary 2021,abs-sa2-2021
206031116,green_space_per_resident,eligible_open_space_area,327457.6682165765,m2,Observation date unverified,vpa-open-space-snapshot
206031116,green_space_per_resident,population_denominator,17965,persons,2025-06-30,abs-erp-2024-25
206031501,population_growth,population_start,16920,persons,2020-06-30,abs-erp-2024-25
206031501,population_growth,population_end,17119,persons,2025-06-30,abs-erp-2024-25
206031501,transport_access,weighted_index_area_sum,64608975.88052912,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206031501,transport_access,valid_intersection_area,4888945.682654537,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206031501,transport_access,sa2_area,4888945.682654568,m2,Boundary 2021,abs-sa2-2021
206031501,green_space_per_resident,eligible_open_space_area,410373.46082754387,m2,Observation date unverified,vpa-open-space-snapshot
206031501,green_space_per_resident,population_denominator,17119,persons,2025-06-30,abs-erp-2024-25
206031502,population_growth,population_start,12763,persons,2020-06-30,abs-erp-2024-25
206031502,population_growth,population_end,13196,persons,2025-06-30,abs-erp-2024-25
206031502,transport_access,weighted_index_area_sum,91029733.18847881,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206031502,transport_access,valid_intersection_area,3554485.2433554004,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206031502,transport_access,sa2_area,3554485.243355272,m2,Boundary 2021,abs-sa2-2021
206031502,green_space_per_resident,eligible_open_space_area,323875.2975214139,m2,Observation date unverified,vpa-open-space-snapshot
206031502,green_space_per_resident,population_denominator,13196,persons,2025-06-30,abs-erp-2024-25
206041117,population_growth,population_start,20865,persons,2020-06-30,abs-erp-2024-25
206041117,population_growth,population_end,25267,persons,2025-06-30,abs-erp-2024-25
206041117,transport_access,weighted_index_area_sum,76034106.3774678,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041117,transport_access,valid_intersection_area,1818205.838113357,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041117,transport_access,sa2_area,1818205.8381134425,m2,Boundary 2021,abs-sa2-2021
206041117,green_space_per_resident,eligible_open_space_area,280199.0661233622,m2,Observation date unverified,vpa-open-space-snapshot
206041117,green_space_per_resident,population_denominator,25267,persons,2025-06-30,abs-erp-2024-25
206041118,population_growth,population_start,16671,persons,2020-06-30,abs-erp-2024-25
206041118,population_growth,population_end,19139,persons,2025-06-30,abs-erp-2024-25
206041118,transport_access,weighted_index_area_sum,79682259.16090293,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041118,transport_access,valid_intersection_area,2443695.9230297613,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041118,transport_access,sa2_area,2443695.9230298568,m2,Boundary 2021,abs-sa2-2021
206041118,green_space_per_resident,eligible_open_space_area,649740.8208895284,m2,Observation date unverified,vpa-open-space-snapshot
206041118,green_space_per_resident,population_denominator,19139,persons,2025-06-30,abs-erp-2024-25
206041119,population_growth,population_start,5383,persons,2020-06-30,abs-erp-2024-25
206041119,population_growth,population_end,5245,persons,2025-06-30,abs-erp-2024-25
206041119,transport_access,weighted_index_area_sum,123180021.66188857,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041119,transport_access,valid_intersection_area,2899659.6156477034,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041119,transport_access,sa2_area,2899659.6156476145,m2,Boundary 2021,abs-sa2-2021
206041119,green_space_per_resident,eligible_open_space_area,974465.5992278714,m2,Observation date unverified,vpa-open-space-snapshot
206041119,green_space_per_resident,population_denominator,5245,persons,2025-06-30,abs-erp-2024-25
206041120,population_growth,population_start,81,persons,2020-06-30,abs-erp-2024-25
206041120,population_growth,population_end,78,persons,2025-06-30,abs-erp-2024-25
206041120,transport_access,weighted_index_area_sum,8393161.428445138,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041120,transport_access,valid_intersection_area,1709307.1228722092,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041120,transport_access,sa2_area,1709307.1228721559,m2,Boundary 2021,abs-sa2-2021
206041120,green_space_per_resident,eligible_open_space_area,38168.45572551124,m2,Observation date unverified,vpa-open-space-snapshot
206041120,green_space_per_resident,population_denominator,78,persons,2025-06-30,abs-erp-2024-25
206041121,population_growth,population_start,11416,persons,2020-06-30,abs-erp-2024-25
206041121,population_growth,population_end,12423,persons,2025-06-30,abs-erp-2024-25
206041121,transport_access,weighted_index_area_sum,37891273.73858626,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041121,transport_access,valid_intersection_area,2146982.914453759,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041121,transport_access,sa2_area,2146982.91445397,m2,Boundary 2021,abs-sa2-2021
206041121,green_space_per_resident,eligible_open_space_area,306741.0524237424,m2,Observation date unverified,vpa-open-space-snapshot
206041121,green_space_per_resident,population_denominator,12423,persons,2025-06-30,abs-erp-2024-25
206041124,population_growth,population_start,8318,persons,2020-06-30,abs-erp-2024-25
206041124,population_growth,population_end,8280,persons,2025-06-30,abs-erp-2024-25
206041124,transport_access,weighted_index_area_sum,63370723.55984481,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041124,transport_access,valid_intersection_area,4048708.027355338,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041124,transport_access,sa2_area,4048708.027355277,m2,Boundary 2021,abs-sa2-2021
206041124,green_space_per_resident,eligible_open_space_area,1384149.5460095818,m2,Observation date unverified,vpa-open-space-snapshot
206041124,green_space_per_resident,population_denominator,8280,persons,2025-06-30,abs-erp-2024-25
206041125,population_growth,population_start,6960,persons,2020-06-30,abs-erp-2024-25
206041125,population_growth,population_end,6894,persons,2025-06-30,abs-erp-2024-25
206041125,transport_access,weighted_index_area_sum,41218440.92765167,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041125,transport_access,valid_intersection_area,1502222.254324082,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041125,transport_access,sa2_area,1502222.2543241538,m2,Boundary 2021,abs-sa2-2021
206041125,green_space_per_resident,eligible_open_space_area,412640.72687421215,m2,Observation date unverified,vpa-open-space-snapshot
206041125,green_space_per_resident,population_denominator,6894,persons,2025-06-30,abs-erp-2024-25
206041127,population_growth,population_start,0,persons,2020-06-30,abs-erp-2024-25
206041127,population_growth,population_end,0,persons,2025-06-30,abs-erp-2024-25
206041127,transport_access,weighted_index_area_sum,22984349.87998439,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041127,transport_access,valid_intersection_area,6199353.756776195,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041127,transport_access,sa2_area,6199353.756776023,m2,Boundary 2021,abs-sa2-2021
206041127,green_space_per_resident,eligible_open_space_area,1031658.5414077368,m2,Observation date unverified,vpa-open-space-snapshot
206041127,green_space_per_resident,population_denominator,0,persons,2025-06-30,abs-erp-2024-25
206041503,population_growth,population_start,12346,persons,2020-06-30,abs-erp-2024-25
206041503,population_growth,population_end,14266,persons,2025-06-30,abs-erp-2024-25
206041503,transport_access,weighted_index_area_sum,78179955.1905144,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041503,transport_access,valid_intersection_area,801785.083464937,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041503,transport_access,sa2_area,801785.0834650251,m2,Boundary 2021,abs-sa2-2021
206041503,green_space_per_resident,eligible_open_space_area,5567.90094897581,m2,Observation date unverified,vpa-open-space-snapshot
206041503,green_space_per_resident,population_denominator,14266,persons,2025-06-30,abs-erp-2024-25
206041504,population_growth,population_start,19155,persons,2020-06-30,abs-erp-2024-25
206041504,population_growth,population_end,24296,persons,2025-06-30,abs-erp-2024-25
206041504,transport_access,weighted_index_area_sum,49591555.9752924,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041504,transport_access,valid_intersection_area,561494.3395572373,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041504,transport_access,sa2_area,561494.3395572322,m2,Boundary 2021,abs-sa2-2021
206041504,green_space_per_resident,eligible_open_space_area,6713.300142847603,m2,Observation date unverified,vpa-open-space-snapshot
206041504,green_space_per_resident,population_denominator,24296,persons,2025-06-30,abs-erp-2024-25
206041505,population_growth,population_start,18796,persons,2020-06-30,abs-erp-2024-25
206041505,population_growth,population_end,22163,persons,2025-06-30,abs-erp-2024-25
206041505,transport_access,weighted_index_area_sum,110039635.32221915,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041505,transport_access,valid_intersection_area,1005333.2936493176,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041505,transport_access,sa2_area,1005333.2936492868,m2,Boundary 2021,abs-sa2-2021
206041505,green_space_per_resident,eligible_open_space_area,74829.76048114692,m2,Observation date unverified,vpa-open-space-snapshot
206041505,green_space_per_resident,population_denominator,22163,persons,2025-06-30,abs-erp-2024-25
206041506,population_growth,population_start,18154,persons,2020-06-30,abs-erp-2024-25
206041506,population_growth,population_end,19286,persons,2025-06-30,abs-erp-2024-25
206041506,transport_access,weighted_index_area_sum,69966110.79530038,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041506,transport_access,valid_intersection_area,2425252.559916237,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041506,transport_access,sa2_area,2425252.559916196,m2,Boundary 2021,abs-sa2-2021
206041506,green_space_per_resident,eligible_open_space_area,114254.1605893363,m2,Observation date unverified,vpa-open-space-snapshot
206041506,green_space_per_resident,population_denominator,19286,persons,2025-06-30,abs-erp-2024-25
206041507,population_growth,population_start,0,persons,2020-06-30,abs-erp-2024-25
206041507,population_growth,population_end,0,persons,2025-06-30,abs-erp-2024-25
206041507,transport_access,weighted_index_area_sum,23363825.551667802,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041507,transport_access,valid_intersection_area,1351088.2005964292,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041507,transport_access,sa2_area,1351088.200596366,m2,Boundary 2021,abs-sa2-2021
206041507,green_space_per_resident,eligible_open_space_area,1094022.5850621013,m2,Observation date unverified,vpa-open-space-snapshot
206041507,green_space_per_resident,population_denominator,0,persons,2025-06-30,abs-erp-2024-25
206041508,population_growth,population_start,7551,persons,2020-06-30,abs-erp-2024-25
206041508,population_growth,population_end,8122,persons,2025-06-30,abs-erp-2024-25
206041508,transport_access,weighted_index_area_sum,34601496.34037489,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041508,transport_access,valid_intersection_area,849835.3721751341,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041508,transport_access,sa2_area,849835.3721750878,m2,Boundary 2021,abs-sa2-2021
206041508,green_space_per_resident,eligible_open_space_area,91800.35889668927,m2,Observation date unverified,vpa-open-space-snapshot
206041508,green_space_per_resident,population_denominator,8122,persons,2025-06-30,abs-erp-2024-25
206041509,population_growth,population_start,17305,persons,2020-06-30,abs-erp-2024-25
206041509,population_growth,population_end,19552,persons,2025-06-30,abs-erp-2024-25
206041509,transport_access,weighted_index_area_sum,29358017.527471036,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041509,transport_access,valid_intersection_area,803842.5516341968,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041509,transport_access,sa2_area,803842.5516341922,m2,Boundary 2021,abs-sa2-2021
206041509,green_space_per_resident,eligible_open_space_area,8537.369930367395,m2,Observation date unverified,vpa-open-space-snapshot
206041509,green_space_per_resident,population_denominator,19552,persons,2025-06-30,abs-erp-2024-25
206041510,population_growth,population_start,7567,persons,2020-06-30,abs-erp-2024-25
206041510,population_growth,population_end,9699,persons,2025-06-30,abs-erp-2024-25
206041510,transport_access,weighted_index_area_sum,41446018.2627728,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041510,transport_access,valid_intersection_area,824582.6171310046,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041510,transport_access,sa2_area,824582.6171310915,m2,Boundary 2021,abs-sa2-2021
206041510,green_space_per_resident,eligible_open_space_area,86700.32481168618,m2,Observation date unverified,vpa-open-space-snapshot
206041510,green_space_per_resident,population_denominator,9699,persons,2025-06-30,abs-erp-2024-25
206051128,population_growth,population_start,16955,persons,2020-06-30,abs-erp-2024-25
206051128,population_growth,population_end,17253,persons,2025-06-30,abs-erp-2024-25
206051128,transport_access,weighted_index_area_sum,73547309.64028542,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206051128,transport_access,valid_intersection_area,4675440.288755991,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206051128,transport_access,sa2_area,4675451.132721832,m2,Boundary 2021,abs-sa2-2021
206051128,green_space_per_resident,eligible_open_space_area,1574660.5739351711,m2,Observation date unverified,vpa-open-space-snapshot
206051128,green_space_per_resident,population_denominator,17253,persons,2025-06-30,abs-erp-2024-25
206051129,population_growth,population_start,15925,persons,2020-06-30,abs-erp-2024-25
206051129,population_growth,population_end,16056,persons,2025-06-30,abs-erp-2024-25
206051129,transport_access,weighted_index_area_sum,46634060.49728251,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206051129,transport_access,valid_intersection_area,2553507.8124464857,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206051129,transport_access,sa2_area,2553507.8124464955,m2,Boundary 2021,abs-sa2-2021
206051129,green_space_per_resident,eligible_open_space_area,365338.3401570447,m2,Observation date unverified,vpa-open-space-snapshot
206051129,green_space_per_resident,population_denominator,16056,persons,2025-06-30,abs-erp-2024-25
206051130,population_growth,population_start,16998,persons,2020-06-30,abs-erp-2024-25
206051130,population_growth,population_end,16927,persons,2025-06-30,abs-erp-2024-25
206051130,transport_access,weighted_index_area_sum,41160873.55232467,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206051130,transport_access,valid_intersection_area,2702133.1291686124,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206051130,transport_access,sa2_area,2789070.115734684,m2,Boundary 2021,abs-sa2-2021
206051130,green_space_per_resident,eligible_open_space_area,498202.11808355234,m2,Observation date unverified,vpa-open-space-snapshot
206051130,green_space_per_resident,population_denominator,16927,persons,2025-06-30,abs-erp-2024-25
206051134,population_growth,population_start,17259,persons,2020-06-30,abs-erp-2024-25
206051134,population_growth,population_end,17380,persons,2025-06-30,abs-erp-2024-25
206051134,transport_access,weighted_index_area_sum,56054236.89549032,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
